DATE,VALUE
1956,6.1
1957,5.5
1958,6.4
1959,7.1
1960,8.2
1961,8.7
1962,8.2
1963,8.2
1964,8.2
1965,8.3
1966,7.7
1967,6.9
1968,5.9
1969,5.5
1970,5.3
1971,5.5
1972,5.6
1973,5.8
1974,6.2
1975,6.0
1976,5.6
1977,5.2
1978,5.0
1979,5.4
1980,5.4
1981,5.1
1982,5.3
1983,5.6
1984,5.9
1985,6.5
1986,7.4
1987,7.7
1988,7.7
1989,7.4
1990,7.2
1991,7.4
1992,7.4
1993,7.3
1994,7.4
1995,7.6
1996,7.9
1997,7.8
1998,7.9
1999,8.1
2000,8.0
2001,8.4
2002,9.0
2003,9.8
2004,10.2
2005,9.9
2006,9.7
2007,9.8
2008,10.0
2009,10.6
2010,10.2
2011,9.5
2012,8.7
2013,8.3
2014,7.6
2015,7.1
