DATE,VALUE
1980,1.471466655731200
1981,1.029125022888180
1982,1.110416685740150
1983,1.241166648864750
1984,1.381825002034510
1985,1.212425003051760
1986,1.483225021362300
1987,1.023375015258790
1988,0.951066691080729
1989,0.756892064412435
1990,0.549866666793823
1991,0.498326037724813
1992,0.436243673960368
1993,0.534953120549520
1994,1.198150243759160
1995,1.268260904947920
1996,0.828444487253825
1997,0.807000255584717
1998,0.839262816111247
1999,0.676538856998103
2000,0.421554115838840
2001,0.273201355611319
2002,0.308202306987550
2003,0.383816637014709
2004,0.372785445025126
2005,0.533683111413044
2006,0.702763527980142
2007,0.882970303198264
2008,1.062400187338890
2009,0.771274901636891
2010,0.841033731830399
2011,1.159957750865970
2012,1.106414977732750
2013,1.005292674596570
2014,1.056000674691230
2015,0.941961391048644
