Game,Date,year,Winning team,winning conference,Score,Losing team,Venue,City,city,state,Attendance,attendance,Ref
05 !V,"01971-01-17-0000January 17, 1971",1971,Indianapolis Colts 02 !Baltimore Colts† (2),AFC,1613 !16–13,Dallas Cowboys 01 !Dallas Cowboys*,Orange Bowl 03 !Orange Bowl (3),"Miami, Florida 03 !Miami, Florida (3)[note 2]",Miami, Florida,"079204 !79,204",79204,[15]
06 !VI,"01972-01-16-0000January 16, 1972",1972,Dallas Cowboys 02 !Dallas Cowboys* (2),NFC,2403 !24–3,Miami Dolphins 01 !Miami Dolphins†,Tulane Stadium 02 !Tulane Stadium (2),"New Orleans, Louisiana 02 !New Orleans, Louisiana (2)",New Orleans, Louisiana,"081023 !81,023",81023,[16]
07 !VII,"01973-01-14-0000January 14, 1973",1973,Miami Dolphins 02 !Miami Dolphins† (2),AFC,1407 !14–7,Washington Redskins 01 !Washington Redskins*,Los Angeles Memorial Coliseum 02 !Los Angeles Memorial Coliseum (2),"Pasadena, California 02 !Los Angeles, California (2)[note 1]",Pasadena, California,"090182 !90,182",90182,[17]
08 !VIII,"01974-01-13-0000January 13, 1974",1974,Miami Dolphins 03 !Miami Dolphins† (3),AFC,2407 !24–7,Minnesota Vikings 02 !Minnesota Vikings* (2),Rice Stadium 01 !Rice Stadium,"Houston, Texas 01 !Houston, Texas",Houston, Texas,"071882 !71,882",71882,[18]
09 !IX,"01975-01-12-0000January 12, 1975",1975,Pittsburgh Steelers 01 !Pittsburgh Steelers†,AFC,1606 !16–6,Minnesota Vikings 03 !Minnesota Vikings* (3),Tulane Stadium 03 !Tulane Stadium (3),"New Orleans, Louisiana 03 !New Orleans, Louisiana (3)",New Orleans, Louisiana,"080997 !80,997",80997,[19]
10 !X,"01976-01-18-0000January 18, 1976",1976,Pittsburgh Steelers 02 !Pittsburgh Steelers† (2),AFC,2117 !21–17,Dallas Cowboys 03 !Dallas Cowboys* (3)[note 3],Orange Bowl 04 !Orange Bowl (4),"Miami, Florida 04 !Miami, Florida (4)[note 2]",Miami, Florida,"080187 !80,187",80187,[20]
11 !XI,"01977-01-09-0000January 9, 1977",1977,Oakland Raiders 02 !Oakland Raiders† (2),AFC,3214 !32–14,Minnesota Vikings 04 !Minnesota Vikings* (4),Rose Bowl 01 !Rose Bowl,"Pasadena, California 03 !Pasadena, California (3)[note 1]",Pasadena, California,"103438 !103,438",103438,[21]
12 !XII,"01978-01-15-0000January 15, 1978",1978,Dallas Cowboys 04 !Dallas Cowboys* (4),NFC,2710 !27–10,Denver Broncos 01 !Denver Broncos†,Louisiana Superdome 01 !Louisiana Superdome,"New Orleans, Louisiana 04 !New Orleans, Louisiana (4)",New Orleans, Louisiana,"076400 !76,400",76400,[22]
13 !XIII,"01979-01-21-0000January 21, 1979",1979,Pittsburgh Steelers 03 !Pittsburgh Steelers† (3),AFC,3531 !35–31,Dallas Cowboys 05 !Dallas Cowboys* (5),Orange Bowl 05 !Orange Bowl (5),"Miami, Florida 05 !Miami, Florida (5)[note 2]",Miami, Florida,"079484 !79,484",79484,[23]
14 !XIV,"01980-01-20-0000January 20, 1980",1980,Pittsburgh Steelers 04 !Pittsburgh Steelers† (4),AFC,3119 !31–19,St. Louis Rams 01 !Los Angeles Rams*,Rose Bowl 02 !Rose Bowl (2),"Pasadena, California 04 !Pasadena, California (4)[note 1]",Pasadena, California,"103985 !103,985",103985,[24]
