"s","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","TOTAL","STARTYEAR","ENDYEAR","TOTALJANDEC"
"2004-05 ",0,0,0,0,0,3,15.3,15.8,6.9,0,0,0,41,"2004","2005",25.8
"2005-06 ",0,0,0,0,0,9.7,2,26.9,1.3,0.1,0,0,40,"2005","2006",47.7
"2006-07 ",0,0,0,0,0,0,2.6,3.8,6,0,0,0,12.4,"2006","2007",30.3
"2007-08 ",0,0,0,0,0,2.9,0,9,0,0,0,0,11.9,"2007","2008",15.3
"2008-09 ",0,0,0,0,0,6,9,4.3,8.3,0,0,0,27.6,"2008","2009",15
"2009-10 ",0,0,0,0,0,12.4,2.1,36.9,0,0,0,0,51.4,"2009","2010",34
"2010-11 ",0,0,0,0,0,20.1,36,4.8,1,0,0,0,61.9,"2010","2011",59.1
"2011-12 ",0,0,0,2.9,0,0,4.3,0.2,0,0,0,0,7.4,"2011","2012",44.7
"2012-13 ",0,0,0,0,4.7,0.4,1.5,12.2,7.3,0,0,0,26.1,"2012","2013",9.6
"2013-14 ",0,0,0,0,0,8.6,19.7,29,0.1,0,0,0,57.4,"2013","2014",29.6
"2014-15 ",0,0,0,0,0.2,1,16.9,13.6,18.6,0,0,0,50.3,"2014","2015",50
