Illinois,,,,,,,,,,*DR*,Jackson,*D*,*D*,*D*,D,,*D*,D,*D*,*D*,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,*D*,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,*D*,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,Illinois,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Indiana,,,,,,,,,*DR*,*DR*,Jackson,*D*,*D*,W,D,,*D*,D,*D*,*D*,*R*,*R*,*R*,*R*,D,*R*,,*D*,*R*,*D*,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,*D*,*D*,R,R,R,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,R,R,*R*,,*R*,*D*,R,Indiana,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Iowa,,,,,,,,,,,,,,,,,,D,*D*,R,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,R,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,*D*,*D*,R,R,*D*,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,D,*D*,*D*,D,,*R*,*D*,*D*,Iowa,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Kansas,,,,,,,,,,,,,,,,,,,,,,*R*,*R*,*R*,*R*,*R*,,R,*R*,PO,D,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,R,R,R,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,R,R,*R*,,*R*,R,R,Kansas,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Kentucky,,*GW*,DR,*DR*,,*DR*,*DR*,*DR*,*DR*,*DR*,Clay,*D*,NR,W,*W*,,W,*W*,W,*D*,CU,D,D,D,D,D,,*D*,D,*D*,*R*,D,D,D,*D*,*D*,D,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,D,*R*,R,,*D*,*R*,*R*,*D*,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,R,R,Kentucky,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Louisiana,,,,,,,,*DR*,*DR*,*DR*,Jackson,*D*,*D*,*D*,*W*,,*D*,*W*,*D*,*D*,SD,,D,*R*,*R*,D,,*D*,D,*D*,D,D,D,D,*D*,*D*,D,,D,D,*D*,*D*,*D*,*D*,SR,D,*R*,*D*,,R,AI,*R*,*D*,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,R,R,Louisiana,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Maine,,,,,,,,,,*DR*,*Adams*,NR,*D*,*D*,*W*,,*D*,D,*D*,R,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,R,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,R,R,R,R,R,*R*,*R*,R,,*D*,D,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,Maine,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Maryland,*GW*,*GW*,*F*,SP,,*DR*,*DR*,*DR*,*DR*,*DR*,Jackson,NR,NR,*W*,*W*,,W,*W*,*D*,KN,SD,*R*,D,D,D,D,,*D*,D,*D*,*R*,*R*,D,D,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,R,*R*,*R*,*D*,,*D*,D,*R*,*D*,D,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,Maryland,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Massachusetts,*GW*,*GW*,*F*,F,,*DR*,F,F,F,*DR*,*Adams*,NR,NR,W,*W*,,W,*W*,W,R,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,R,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,D,*D*,*D*,*D*,*D*,*D*,*R*,*R*,*D*,,*D*,D,D,*D*,*R*,*R*,D,*D*,*D*,D,,D,*D*,*D*,Massachusetts,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Michigan,,,,,,,,,,,,,,*D*,*W*,,*D*,D,*D*,R,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,R,*R*,*R*,*R*,*R*,PR,R,*R*,,*R*,*R*,*D*,*D*,R,*D*,R,*R*,*R*,*D*,,*D*,D,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,Michigan,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
